GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Tmpo_sp|Q61029|LAP2B_MOUSE,Tmpo,-0.678845136713858,1.68903897783094,Q61029
Prps2_sp|Q9CS42|PRPS2_MOUSE,Prps2,-0.681313252368078,1.7168736887859,Q9CS42
Tbc1d4_sp|Q8BYJ6|TBCD4_MOUSE,Tbc1d4,-0.682484892173001,1.49968690654243,Q8BYJ6
Cirbp_sp|P60824|CIRBP_MOUSE,Cirbp,-0.682960107890057,1.60112987752368,P60824
Tmpo_sp|Q61029-4|LAP2B_MOUSE,Tmpo,-0.683219078873785,1.87947086406217,Q61029-4
Cltb_sp|Q6IRU5|CLCB_MOUSE,Cltb,-0.683722511314305,2.34941407957867,Q6IRU5
Prps1l3_tr|G3UXL2|G3UXL2_MOUSE,Prps1l3,-0.6890361137006,1.98449009979027,G3UXL2
Camk2b_sp|P28652|KCC2B_MOUSE,Camk2b,-0.694328428253148,2.69279716172439,P28652
Ca3_sp|P16015|CAH3_MOUSE,Ca3,-0.695447426201723,3.00167206123939,P16015
Mcur1_sp|Q9CXD6|MCUR1_MOUSE,Mcur1,-0.699046244082201,1.52346474692941,Q9CXD6
Myo18a_tr|E9PUR2|E9PUR2_MOUSE,Myo18a,-0.710708742331416,2.53450826714397,E9PUR2
Slmap_tr|F6UV57|F6UV57_MOUSE,Slmap,-0.71165202802593,2.05038538368585,F6UV57
Camk2d_sp|Q6PHZ2-5|KCC2D_MOUSE,Camk2d,-0.715884825242032,2.66079529757646,Q6PHZ2-5
Camk2b_tr|Q5SVJ0|Q5SVJ0_MOUSE,Camk2b,-0.722922787419884,2.51917589837536,Q5SVJ0
Gstm2_sp|P15626|GSTM2_MOUSE,Gstm2,-0.725127779913461,2.78961589559045,P15626
Gstm2_sp|P15626|GSTM2_MOUSE,Gstm2,-0.72849659589286,2.79780660519332,P15626
Slmap_tr|D3YV81|D3YV81_MOUSE,Slmap,-0.729479257155467,1.89896074212668,D3YV81
Itpr2_sp|Q9Z329|ITPR2_MOUSE,Itpr2,-0.734680876398008,1.37880045193022,Q9Z329
Slc29a1_tr|E9Q503|E9Q503_MOUSE,Slc29a1,-0.74092249445601,1.63861615801707,E9Q503
Prps1l3_tr|G3UXL2|G3UXL2_MOUSE,Prps1l3,-0.744358084375476,2.10728487738214,G3UXL2
Prps2_sp|Q9CS42|PRPS2_MOUSE,Prps2,-0.747289661523448,1.85539326855421,Q9CS42
Cisd2_sp|Q9CQB5|CISD2_MOUSE,Cisd2,-0.75128883209715,1.47394354657552,Q9CQB5
Cyb5b_sp|Q9CQX2|CYB5B_MOUSE,Cyb5b,-0.755122412568302,1.64758383128011,Q9CQX2
Gcat_sp|O88986|KBL_MOUSE,Gcat,-0.760919851860925,3.69349229939366,O88986
Ubxn6_sp|Q99PL6|UBXN6_MOUSE,Ubxn6,-0.767701946927349,1.68409426545073,Q99PL6
Pds5a_sp|Q6A026|PDS5A_MOUSE,Pds5a,-0.771383036004142,1.69002646078377,Q6A026
Zfp207_tr|M0QWF0|M0QWF0_MOUSE,Zfp207,-0.77622801111565,3.17546118201363,M0QWF0
